folder,file_count
Struthioniformes,1
Motacilla_alba_baicalensis,1
Motacilla_cinerea_cinerea,1
Motacilla_flava_thunbergi,1
Notamacropus_rufogriseus,1
Clethrionomys,1
Cnephaeus_pachyomus,1
Coloeus,1
Otis_tarda,1
Nyctereutes,1
Nycticorax,1
Ara_ararauna,1
Ardenna,1
Tachyspiza_gularis_gularis,1
Tamiini,1
Tamiops,1
Tarsiger,1
Tauraco_violaceus,1
Terathopius_ecaudatus,1
Sylvilagus_floridanus,1
Symphalangus_syndactylus,1
Caprini,1
Carpodacus_erythrinus_grebnitskii,1
Leucosticte_arctoa_brunneonucha,1
Larus_schistisagus_glaucescens,1
Macropus_giganteus,1
Mandrillus_sphinx,1
Mareca,1
Mareca_strepera_falcata,1
Martes,1
Delphinus_delphis,1
Macaca_nemestrina,1
Macaca_nigra,1
Macaca_sinica,1
Cynomys,1
Castoridae,1
Canis_lupus,1
Pulsatrix_perspicillata,1
Pygoscelis,1
Pyrrhura_molinae,1
Psittacidae,1
Phascolarctos_cinereus,1
Phasianus,1
Phoca_vitulina,1
Cuon_alpinus_alpinus,1
Cyanopica,1
Cyanoptila_cyanomelana_intermedia,1
Cuculiformes,1
Mimus_polyglottos,1
Cricetidae,1
Cricetus,1
Crocidura_dsinezumi,1
Corvus_corax,1
Pelecanus_onocrotalus,1
Periparus,1
Petaurus_breviceps,1
Phalaropus,1
Cacatua,1
Calandrella_dukhunensis,1
Castor_fiber,1
Cavia_porcellus,1
Bucephala_albeola,1
Buteoninae,1
Buteo_buteo,1
Psittaciformes,1
Podiceps_grisegena_holbollii,1
Podicipediformes,1
Dicrurus_annectens,1
Hypsugo,1
Hystrix_africaeaustralis,1
Lophura_nycthemera,1
Loxia_curvirostra_japonica,1
Lynx_rufus,1
Locustella_davidi,1
Larvivora,1
Poecile_montanus,1
Poecile_rufescens,1
Pongo_pygmaeus,1
Sciurini,1
Axis_porcinus,1
Aythya_fuligula_marila,1
Rucervus_duvaucelii,1
Cercopithecus_neglectus,1
Menelikornis_leucotis,1
Myotis_macrodactylus,1
Myotis_petax,1
Myiopsitta_monachus,1
Mungos_mungo,1
Certhiidae,1
Cervinae,1
Parabuteo_unicinctus,1
Cecropis_daurica_japonica,1
Centropus_bengalensis,1
Phylloscopus_plumbeitarsus,1
Phylloscopus_ricketti,1
Phylloscopus_yunnanensis,1
Callithrix_jacchus,1
Phoenicopterus_ruber,1
Phoenicurus,1
Phoenicurus_fuliginosus,1
Saguinus_oedipus,1
Sciurinae,1
Remizidae,1
Riparia,1
Ramphastos_tucanus,1
Rattini,1
Rattus_rattus,1
Rattus_tanezumi,1
Regulus,1
Sorex_gracillimus,1
Sphenisciformes,1
Spheniscus,1
Spilopelia_chinensis_chinensis,1
Scotocercidae,1
Serinus_canaria,1
Sitta_europaea_bedfordi,1
Sittidae,1
Branta_canadensis_canadensis,1
Erithacus_rubecula,1
Euarchontoglires,1
Emberiza_spodocephala_spodocephala,1
Equus,1
Emberiza_rustica_latifascia,1
Lalage_melaschistos,1
Lanius_cristatus_lucionensis,1
Dicrurus_leucophaeus_leucogenis,1
Dryocopus_martius_martius,1
Dryocopus_pileatus,1
Emberiza_elegans_elegans,1
Dicrurus,1
Bubalus,1
Bubalus_bubalis,1
Balaeniceps_rex,1
Balaenoptera_physalus,1
Bos,1
Botaurus,1
Sterna_hirundo_tibetana,1
Streptopelia_tranquebarica,1
Ateles_geoffroyi,1
Stercorarius_longicaudus,1
Zapornia_fusca_erythrothorax,1
Zapornia_pusilla,1
Zapornia_pusilla_pusilla,1
Trichechidae,1
Trichoglossus_haematodus,1
Odontoceti,1
Oenanthe_isabellina,1
Chlidonias_niger,1
Chloris,1
Passerculus_sandwichensis,1
Pavo_muticus,1
Cervus,1
Cervus_canadensis_macneilli,1
Cetacea,1
Ceratotherium_simum,1
Ceratotherium_simum_simum,1
Arundinax_aedon_rufescens,1
Grus,1
Gypaetus_barbatus_barbatus,1
Geopelia_cuneata,1
Giraffa_giraffa,1
Horornis_canturians_canturians,1
Hyaena_hyaena,1
Eudocimus_ruber,1
Eudynamys_scolopaceus,1
Eumetopias_jubatus_jubatus,1
